material_id,material_description,brand,product_category,product_subcategory,list_price_usd,avg_rating,loves_count,review_count,standard_cost_usd
P473145,Major Dimension Eyeshadow Palette,PATRICK TA,Makeup,Eye,70.0,4.5648,79630,563.0,29.4
P482509,Supreme Mauves Eyeshadow & Pressed Pigment Palette,Artist Couture,Makeup,Eye,45.0,2.9333,6122,45.0,18.9
P502289,Bubble Pop Electric High-Performance Clean Lip Gloss,GXVE BY GWEN STEFANI,Makeup,Lip,20.0,4.3043,20145,161.0,8.4
P505041,Glazing Over Nail Polish Duo Set,NAILS INC.,Makeup,Nail,15.0,5.0,2386,2.0,6.3
P470025,Eaze Drop Blurring Skin Tint,Fenty Beauty by Rihanna,Makeup,Face,35.0,3.951,306238,1652.0,14.7
P501697,"501 Praline, Licorice and Patchouli Eau de Parfum Travel Spray",Bon Parfumeur,Fragrance,Women,34.0,3.5,623,2.0,10.2
P417312,Brazilian Crush Cheirosa ’62 Bum Bum Hair & Body Fragrance Mist,Sol de Janeiro,Fragrance,Women,24.0,4.3049,245440,1814.0,7.2
P417192,Myrrh & Tonka Cologne Intense,Jo Malone London,Fragrance,Women,220.0,4.4675,16410,77.0,66.0
P504285,1 Million Eau de Toilette Cologne Set,Paco Rabanne,Fragrance,Value & Gift Sets,86.0,,90,,25.8
P462417,LIBRE Eau de Parfum Intense,Yves Saint Laurent,Fragrance,Women,95.0,4.6006,38366,323.0,28.5
P481103,"Love, Don't Be Shy-EXTREME",KILIAN Paris,Fragrance,Women,340.0,3.7273,5201,11.0,102.0
P439406,VANILLA | 28,KAYALI,Fragrance,Women,125.0,3.8714,107686,964.0,37.5
P501696,"002 Neroli, Jasmine and White Amber Eau de Parfum Travel Spray",Bon Parfumeur,Fragrance,Women,34.0,5.0,836,2.0,10.2
P76000,Pure Poison,Dior,Fragrance,Women,130.0,4.5763,26129,295.0,39.0
P476865,Lili Fantasy Eau de Parfum,Juliette Has a Gun,Fragrance,Women,140.0,3.7778,2029,9.0,42.0
P483678,Himalayan Salt & Rosewater Diffuser,NEST New York,Fragrance,Candles & Home Scents,58.0,5.0,1630,2.0,17.4
P505463,Artist Candle,The Maker,Fragrance,Candles & Home Scents,80.0,,1,,24.0
P441329,Guilty Pour Femme Eau de Parfum Rollerball,Gucci,Fragrance,Women,38.0,3.9018,9333,285.0,11.4
P503815,The Most Wanted Parfum,Azzaro,Fragrance,Men,118.0,4.7413,1359,317.0,35.4
P418122,Dior Homme Sport,Dior,Fragrance,Men,82.0,4.4118,1784,17.0,24.6
P483706,Bright Crystal Hair Mist,Versace,Fragrance,Women,50.0,2.0,2490,1.0,15.0
P504281,Mini Clean Classic Rollerball Perfume Set,CLEAN RESERVE,Fragrance,Value & Gift Sets,22.0,5.0,2720,1.0,6.6
P482013,Sea Daffodil Cologne,Jo Malone London,Fragrance,Women,150.0,3.75,6731,28.0,45.0
P469197,Tahitian Coconut Vanilla Home Diffuser,VOLUSPA,Fragrance,Candles & Home Scents,30.0,3.9375,8297,32.0,9.0
P405269,Mediterranean Honeysuckle,AERIN,Fragrance,Women,145.0,4.2158,15618,139.0,43.5
P387564,Daisy Dream Rollerball,Marc Jacobs Fragrances,Fragrance,Women,34.0,4.4375,15570,144.0,10.2
P429554,Panjore Lychee Home Diffuser,VOLUSPA,Fragrance,Candles & Home Scents,30.0,3.8571,3185,42.0,9.0
P501965,Archive Kit Sampler Set,Commodity,Fragrance,Value & Gift Sets,36.0,3.4,3600,5.0,10.8
P375938,Trésor Midnight Rose,Lancôme,Fragrance,Women,125.0,4.5175,13821,114.0,37.5
P469828,Dylan Turquoise Hair Mist,Versace,Fragrance,Women,50.0,4.7143,2859,7.0,15.0
